Name,Address,Latitude,Longitude
ATM CTY FULUH 05,"Xã Tân Kim, Huyện Cần Giuộc, Tỉnh Long An, Việt Nam",10.635569,106.71882
ATM CTY FULUH 06,"Xã Tân Kim, Huyện Cần Giuộc, Tỉnh Long An, Việt Nam",10.635569,106.71882
ATM PGD NGÔ QUYỀN,"Số 376 Tô Hiệu, Phường Hồ Nam, Quận Lê Chân, Thành Phố Hải Phòng, Việt Nam",20.84994,106.67349
ATM CN Hà Nội,"2C, khu Đoàn Ngoại giao Vạn Phúc, Phường Ngọc Khánh, Quận Ba Đình, Thành Phố Hà Nội, Việt Nam",21.031042,105.81787
ATM CN Bình Dương,"558 Đại Lộ Bình Dương, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",10.992393,106.65903
ATM CN TP.HCM,"Tòa nhà K&K, 159 A-B Lê Đại Hành, Phường 13, Quận 11, Thành Phố Hồ Chí Minh, Việt Nam",10.762784,106.65652
ATM CN Ba Đình,"Tòa nhà Icon4, 243A, Đê La Thành, Phường Láng Thượng, Quận Đống Đa, Thành Phố Hà Nội, Việt Nam",21.027958,105.80233
ATM PGD Nguyễn Oanh,"255a26 Khu dân cư CITYLAND PARK HILLS Nguyễn Văn Lượng, phường 10, quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",10.838501,106.67569
ATM PGD Bình Thạnh,"132-134 Nguyễn Gia Trí, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",10.801458,106.715294
ATM PGD Đầm Sen,"173 Hoà Bình, Phường Hiệp Tân, Quận Tân Phú, Thành Phố Hồ Chí Minh, Việt Nam",10.77088,106.62721
ATM CN Long An 1,"112-114-116 Nguyễn Văn Tiếp, khu phố 3, thị trấn Bến Lức, huyện Bến Lức, tỉnh Long An, Việt Nam",10.639959,106.492584
ATM CN Hoàn Kiếm 01,"32 Trần Hưng Đạo, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Thành Phố Hà Nội, Việt Nam",21.020592,105.85228
ATM CN Hoàn Kiếm 02,"32 Trần Hưng Đạo, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Thành Phố Hà Nội, Việt Nam",21.020592,105.85228
ATM PGD Ngô Gia Tự,"372-374 Ngô Gia Tự, phường 3, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",10.7621155,106.67016
ATM CN Đà Nẵng,"191 Lê Lợi, phường Hải Châu 1, Quận Hải Châu, thành phố Đà Nẵng, Việt Nam",16.068464,108.213486
