Province,Name,Address,Latitude,Longitude
Hà Nội,"ATM Số 1 Phạm Huy Thông, Ngọc Khánh","ATM Số 1 Phạm Huy Thông, Ngọc KhánhSố 1 Phạm Huy Thông, Ngọc Khánh",21.026151,105.811036
Hà Nội,ATM 106 Dao tan,ATM 106 Dao tan106 Dao tan,21.033669,105.80614
Hà Nội,ATM 1B Le Hong Phong,ATM 1B Le Hong Phong1B Le Hong Phong,21.033378,105.837941
Hà Nội,"ATM 459 Doi Can, Ba Dinh, Ha Noi","ATM 459 Doi Can, Ba Dinh, Ha Noi459 Doi Can, Ba Dinh, Ha Noi",21.038135,105.808758
Hà Nội,ATM So 09 Nguyen Canh Chan,ATM So 09 Nguyen Canh ChanSo 09 Nguyen Canh Chan,21.039045,105.837659
Hà Nội,ATM So 1A Hung Vuong,ATM So 1A Hung VuongSo 1A Hung Vuong,21.040574,105.836072
Hà Nội,"ATM 459 Doi Can, Ba Dinh, Ha Noi","ATM 459 Doi Can, Ba Dinh, Ha Noi459 Doi Can, Ba Dinh, Ha Noi",21.038135,105.808758
Hà Nội,ATM 144 Quan Thanh,ATM 144 Quan Thanh144 Quan Thanh,21.042652,105.841588
Hà Nội,ATM 79 Linh Lang,ATM 79 Linh Lang79 Linh Lang,21.033564,105.809956
Hà Nội,ATM VPQH duong Doc Lap,ATM VPQH duong Doc LapVPQH duong Doc Lap,21.037233,105.8376
Hà Nội,ATM 22 Hung Vuong,ATM 22 Hung Vuong22 Hung Vuong,21.032958,105.833892
Hà Nội,ATM VPQH duong Doc Lap,ATM VPQH duong Doc LapVPQH duong Doc Lap,21.037233,105.8376
Hà Nội,ATM 172 Ngoc Khanh,ATM 172 Ngoc Khanh172 Ngoc Khanh,21.024608,105.819315
Hà Nội,ATM 51 Kim Ma,ATM 51 Kim Ma51 Kim Ma,21.032136,105.827743
Hà Nội,ATM 463 Hoang Hoa Tham,ATM 463 Hoang Hoa Tham463 Hoang Hoa Tham,21.043334,105.813998
Hà Nội,"ATM Nha D1 , Khu 7,2ha , Vinh Phuc","ATM Nha D1 , Khu 7,2ha , Vinh PhucNha D1 , Khu 7,2ha , Vinh Phuc",21.042939,105.808934
Hà Nội,Chi nhánh Láng Hạ - Phòng giao dịch Số 02,"Chi nhánh Láng Hạ - Phòng giao dịch Số 02Số 179 Phùng Hưng, Phường Hàng Bông, Quận Hoàn Kiếm, Thành phố Hà Nội",21.029922,105.84467
Hà Nội,Chi nhánh Vạn Xuân,"Chi nhánh Vạn XuânSố 10 Chùa Bộc, phường Quang Trung, quận Đống Đa, Thành phố Hà Nội",21.007927,105.829055
Hà Nội,Chi nhánh Vạn Xuân - Phòng giao dịch Số 17,"Chi nhánh Vạn Xuân - Phòng giao dịch Số 17Số 4 Ngõ Gạch, Phường Hàng Buồm, Quận Hoàn Kiếm, Thành phố Hà Nội",21.036518,105.850662
Hà Nội,Chi nhánh Vạn Xuân - Phòng giao dịch Số 18,"Chi nhánh Vạn Xuân - Phòng giao dịch Số 18Số 17 phố Hàng Thùng, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Thành phố Hà Nội",21.032491,105.854907
Hà Nội,Chi nhánh Thủ Đô - Phòng giao dịch Hai Bà Trưng,"Chi nhánh Thủ Đô - Phòng giao dịch Hai Bà Trưng126 Hai Bà Trưng, Phường Cửa Nam, Quận Hoàn Kiếm, Thành phố Hà Nội",21.027574,105.842007
Hà Nội,Chi nhánh Hồng Hà,"Chi nhánh Hồng HàSố nhà 24-26 Trần Nhật Duật, Phường Đồng Xuân,Quận Hoàn Kiếm, Thành phố Hà Nội",21.039152,105.851505
Hà Nội,Chi nhánh Hà Nội - Phòng giao dịch Tràng Tiền,"Chi nhánh Hà Nội - Phòng giao dịch Tràng TiềnSố 27, phố Lý Thái Tổ, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Thành phố Hà Nội",21.02964,105.855335
Hà Nội,Chi nhánh Bắc Hà Nội - Phòng giao dịch Số 2,"Chi nhánh Bắc Hà Nội - Phòng giao dịch Số 2Số 73, phố Hàng Giấy, Phường Đồng Xuân, Quận Hoàn Kiếm, Thành phố Hà Nội",21.038513,105.848552
Hà Nội,Chi nhánh Đông Hà Nội,"Chi nhánh Đông Hà NộiSố nhà 23B phố Quang Trung, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội",21.023169,105.84914
Hà Nội,Chi nhánh Đông Hà Nội - Phòng giao dịch Bà Triệu,"Chi nhánh Đông Hà Nội - Phòng giao dịch Bà Triệu56B phố Bà Triệu, Phường Hàng Bài, Quận Hoàn Kiếm, Thành phố Hà Nội",21.022335,105.850492
Hà Nội,Chi nhánh Đông Hà Nội - Phòng giao dịch Lý Thường Kiệt,"Chi nhánh Đông Hà Nội - Phòng giao dịch Lý Thường KiệtSố 38 Phan Bội Châu, phường Cửa Nam, Quận Hoàn Kiếm, Thành phố Hà Nội",21.02536,105.841597
Hà Nội,ATM 89 - Dinh Tien Hoang,ATM 89 - Dinh Tien Hoang89 - Dinh Tien Hoang,21.026017,105.853414
Hà Nội,ATM 89 - Dinh Tien Hoang,ATM 89 - Dinh Tien Hoang89 - Dinh Tien Hoang,21.026017,105.853414
Hà Nội,ATM 24 - 26 Tran Nhat Duat,ATM 24 - 26 Tran Nhat Duat24 - 26 Tran Nhat Duat,21.038839,105.851516
Hà Nội,ATM 179 Phung Hung,ATM 179 Phung Hung179 Phung Hung,21.029605,105.844822
